date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:54	457/457	---M--	200	added ('OK')	text/plain	date:Sun,%2015%20Oct%202023%2004:40:54%20GMT	https://www.nastysoulmusic.com/robots.txt		(from )
21:40:55	767055/767055	---MCZ	200	added ('OK')	text/html	etag:W/%2205bb9512c3fdd4602e952a5778c3f700%22	https://www.nastysoulmusic.com/	/Users/jordanhemphill/websites/nasty%20soul/www.nastysoulmusic.com/index.html	(from )
21:40:55	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22b53ce85a6cce2ae00037a6ca13c90866%22	https://static.parastorage.com/client/pfavico.ico	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/client/pfavico.ico	(from https://www.nastysoulmusic.com/)
21:40:57	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.nastysoulmusic.com/)
21:40:57	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.nastysoulmusic.com/)
21:40:59	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2015%20Oct%202023%2004:40:58%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	/Users/jordanhemphill/websites/nasty%20soul/polyfill.io/v3/polyfill.mind82c.js	(from https://www.nastysoulmusic.com/)
21:41:02	179298/179298	---M--	200	added ('OK')	image/svg+xml	etag:%22b961e89565c884c0ee40470d54da0215-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d1b1e866-a411-42ba-8f75-72bf28e23694.svg	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d1b1e866-a411-42ba-8f75-72bf28e23694.svg	(from https://www.nastysoulmusic.com/)
21:41:05	259290/259290	---M--	200	added ('OK')	image/svg+xml	etag:%22e9213b145b8ed87faa24abe1eef5a22d-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/9f774d17-c03a-418e-a375-34f3beecbc7a.svg	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/9f774d17-c03a-418e-a375-34f3beecbc7a.svg	(from https://www.nastysoulmusic.com/)
21:41:05	135753/135753	---M--	200	added ('OK')	image/svg+xml	etag:%223d8f44f8cec3568bb6291d1eb57f0287-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/58ae9be9-5d95-44b6-8b6c-e6da6a46822c.svg	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/58ae9be9-5d95-44b6-8b6c-e6da6a46822c.svg	(from https://www.nastysoulmusic.com/)
21:41:05	9475/9475	---MCZ	200	added ('OK')	text/xml	date:Sun,%2015%20Oct%202023%2004:40:59%20GMT	https://www.nastysoulmusic.com/blog-feed.xml	/Users/jordanhemphill/websites/nasty%20soul/www.nastysoulmusic.com/blog-feed.xml	(from https://www.nastysoulmusic.com/)
21:41:05	5087/5087	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:05%20GMT	https://static.wixstatic.com/media/c0716c_211dd7892bc348ecbf8cf5624fbc89e8~mv2.png/v1/fill/w_96,h_50,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c0716c_211dd7892bc348ecbf8cf5624fbc89e8~mv2.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_211dd7892bc348ecbf8cf5624fbc89e8_mv2.png/v1/fill/w_96,h_50,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c0716c_211dd7892bc348ecbf8cf5624fbc89e8_mv2.png	(from https://www.nastysoulmusic.com/)
21:41:06	4011/4011	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Oct%202023%2004:41:06%20GMT	https://static.wixstatic.com/media/c0716c_325771ad39fd4e5195f9d937090a1794~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c0716c_325771ad39fd4e5195f9d937090a1794~mv2.jpg	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_325771ad39fd4e5195f9d937090a1794_mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c0716c_325771ad39fd4e5195f9d937090a1794_mv2.jpg	(from https://www.nastysoulmusic.com/)
21:41:07	3500/3500	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:07%20GMT	https://static.wixstatic.com/media/c0716c_78f7439fce774d87a00cb0565ece81c0~mv2.png/v1/fill/w_52,h_37,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/jam%20series%20PACKAGE.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_78f7439fce774d87a00cb0565ece81c0_mv2.png/v1/fill/w_52,h_37,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/jam%20series%20PACKAGE.png	(from https://www.nastysoulmusic.com/)
21:41:08	1460/1460	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:08%20GMT	https://static.wixstatic.com/media/c0716c_af40059e84614a8d8c7a51a5c3710fc3~mv2.png/v1/fill/w_20,h_17,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/c0716c_af40059e84614a8d8c7a51a5c3710fc3~mv2.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_af40059e84614a8d8c7a51a5c3710fc3_mv2.png/v1/fill/w_20,h_17,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/c0716c_af40059e84614a8d8c7a51a5c3710fc3_mv2.png	(from https://www.nastysoulmusic.com/)
21:41:09	1055/1055	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:09%20GMT	https://static.wixstatic.com/media/c0716c_af40059e84614a8d8c7a51a5c3710fc3~mv2.png/v1/fill/w_17,h_14,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/kindpng_564994.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_af40059e84614a8d8c7a51a5c3710fc3_mv2.png/v1/fill/w_17,h_14,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/kindpng_564994.png	(from https://www.nastysoulmusic.com/)
21:41:10	4220/4220	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:10%20GMT	https://static.wixstatic.com/media/c0716c_161dbc5608a441eb8b6f626d627ed1c6~mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c0716c_161dbc5608a441eb8b6f626d627ed1c6~mv2.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_161dbc5608a441eb8b6f626d627ed1c6_mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c0716c_161dbc5608a441eb8b6f626d627ed1c6_mv2.png	(from https://www.nastysoulmusic.com/)
21:41:11	4285/4285	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:11%20GMT	https://static.wixstatic.com/media/c0716c_e43a10950f154a5aa5550cd19d7fe78f~mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/funk%20masterclass.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_e43a10950f154a5aa5550cd19d7fe78f_mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/funk%20masterclass.png	(from https://www.nastysoulmusic.com/)
21:41:12	4238/4238	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:12%20GMT	https://static.wixstatic.com/media/c0716c_545e0541a0c249d0b33da2647a0c810b~mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/doubel%20stopLICK%20PACKAGE.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_545e0541a0c249d0b33da2647a0c810b_mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/doubel%20stopLICK%20PACKAGE.png	(from https://www.nastysoulmusic.com/)
21:41:13	4344/4344	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:13%20GMT	https://static.wixstatic.com/media/c0716c_29cbb73801a44ad09cebd5526079f446~mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/MISCH%20COURSE.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_29cbb73801a44ad09cebd5526079f446_mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/MISCH%20COURSE.png	(from https://www.nastysoulmusic.com/)
21:41:14	4195/4195	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2004:41:14%20GMT	https://static.wixstatic.com/media/c0716c_7fca9d716a424e00aca4e7ea587569cd~mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/arp%20PACKAGE.png	/Users/jordanhemphill/websites/nasty%20soul/static.wixstatic.com/media/c0716c_7fca9d716a424e00aca4e7ea587569cd_mv2.png/v1/fill/w_60,h_42,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/arp%20PACKAGE.png	(from https://www.nastysoulmusic.com/)
21:41:16	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	/Users/jordanhemphill/websites/nasty%20soul/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.nastysoulmusic.com/)
21:41:16	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202023%2004:41:16%20GMT	https://www.nastysoulmusic.com/sitemap.xml	/Users/jordanhemphill/websites/nasty%20soul/www.nastysoulmusic.com/sitemap.13.delayed	(from https://www.nastysoulmusic.com/)
21:41:17	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202023%2004:41:17%20GMT	https://www.nastysoulmusic.com/feed.xml	/Users/jordanhemphill/websites/nasty%20soul/www.nastysoulmusic.com/feed.14.delayed	(from https://www.nastysoulmusic.com/)
21:41:18	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202023%2004:41:18%20GMT	https://www.nastysoulmusic.com/${n.uri}	/Users/jordanhemphill/websites/nasty%20soul/www.nastysoulmusic.com/${n.15.delayed	(from https://www.nastysoulmusic.com/)
21:41:20	95381/95381	---M-Z	200	added ('OK')	application/javascript	etag:W/%22109f7f7a7368c3401531cef8bf3c5d22%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.1f86e978.bundle.min.js	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.1f86e978.bundle.min.js	(from https://www.nastysoulmusic.com/)
21:41:21	168532/168532	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e3f003b591c091f097591bdc33a863e1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.197ea5a0.bundle.min.js	/Users/jordanhemphill/websites/nasty%20soul/static.parastorage.com/services/wix-thunderbolt/dist/main.197ea5a0.bundle.min.js	(from https://www.nastysoulmusic.com/)
